Z1,Z2,comp,tilt,angle,csl,gbe
92,42,0.0,100,0,1,0.0
92,42,0.0,120,53.13010235415598,5,3.0318947033960284
92,42,0.0,130,36.86989764584402,5.0,4.051052613939325
92,42,0.0,140,28.072486935852936,17,2.489662189347437
92,42,0.0,150,22.61986494804043,13.0,3.6693015262884194
92,42,0.0,170,16.26020470831193,25.0,4.05933049401222
92,42,0.0,190,12.68038349181981,41.0,3.33074602640789
92,42,0.0,230,67.38013505195957,13,4.305462383298607
92,42,0.0,340,73.73979529168804,25,4.102827471449606
92,42,0.0,350,61.927513064147035,17.0,3.019308108770023
92,42,0.0,370,46.39718102729637,29.0,4.561448115984389
92,42,0.1,100,0,1,0.0
92,42,0.1,120,53.13010235415598,5,1.313609279372223
92,42,0.1,130,36.86989764584402,5.0,2.3632467418124143
92,42,0.1,140,28.072486935852936,17,1.8460884429174262
92,42,0.1,150,22.61986494804043,13.0,1.5682847865070997
92,42,0.1,170,16.26020470831193,25.0,0.8796798986028349
92,42,0.1,190,12.68038349181981,41.0,0.8479377076076212
92,42,0.1,230,67.38013505195957,13,2.3151894475322545
92,42,0.1,340,73.73979529168804,25,2.5310566347007266
92,42,0.1,350,61.927513064147035,17.0,0.6247430248305836
92,42,0.1,370,46.39718102729637,29.0,2.8276930193183096
92,42,0.2,100,0,1,0.0
92,42,0.2,120,53.13010235415598,5,-0.2734279257798308
92,42,0.2,130,36.86989764584402,5.0,2.615845378890422
92,42,0.2,140,28.072486935852936,17,2.242778325880607
92,42,0.2,150,22.61986494804043,13.0,4.595736802298779
92,42,0.2,170,16.26020470831193,25.0,1.1034904050020586
92,42,0.2,190,12.68038349181981,41.0,0.478553130062384
92,42,0.2,230,67.38013505195957,13,2.230787058527251
92,42,0.2,340,73.73979529168804,25,2.3315579063927325
92,42,0.2,350,61.927513064147035,17.0,4.33339243376775
92,42,0.2,370,46.39718102729637,29.0,2.501826259953136
92,42,0.3,100,0,1,0.0
92,42,0.3,120,53.13010235415598,5,1.4401064112811008
92,42,0.3,130,36.86989764584402,5.0,4.216460642497361
92,42,0.3,140,28.072486935852936,17,3.753143160241082
92,42,0.3,150,22.61986494804043,13.0,2.8906347078699626
92,42,0.3,170,16.26020470831193,25.0,2.2804107184998155
92,42,0.3,190,12.68038349181981,41.0,1.9135721188073316
92,42,0.3,230,67.38013505195957,13,4.470822908818444
92,42,0.3,340,73.73979529168804,25,2.7681569376052053
92,42,0.3,350,61.927513064147035,17.0,2.024507618261784
92,42,0.3,370,46.39718102729637,29.0,4.458118728123279
92,42,0.4,100,0,1,0.0
92,42,0.4,120,53.13010235415598,5,1.0060845605696622
92,42,0.4,130,36.86989764584402,5.0,5.9841477557783795
92,42,0.4,140,28.072486935852936,17,4.44309329316708
92,42,0.4,150,22.61986494804043,13.0,4.792408491912954
92,42,0.4,170,16.26020470831193,25.0,2.1568820248395597
92,42,0.4,190,12.68038349181981,41.0,5.753131990204451
92,42,0.4,230,67.38013505195957,13,4.73337952529387
92,42,0.4,340,73.73979529168804,25,4.182261454883847
92,42,0.4,350,61.927513064147035,17.0,2.2333918654118836
92,42,0.4,370,46.39718102729637,29.0,3.9131474390632213
92,42,0.5,100,0,1,0.0
92,42,0.5,120,53.13010235415598,5,2.2640611071786805
92,42,0.5,130,36.86989764584402,5.0,8.156187717111333
92,42,0.5,140,28.072486935852936,17,4.6698642625799245
92,42,0.5,150,22.61986494804043,13.0,3.7341594601920245
92,42,0.5,170,16.26020470831193,25.0,3.525505185687323
92,42,0.5,190,12.68038349181981,41.0,4.014631210426831
92,42,0.5,230,67.38013505195957,13,6.94015978157955
